filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Hybrid Recommender,rec.recommender.ranking.topn=10    rec.hybrid.lambda=0.1    rec.recommender.isranking=true,16:58:52 AEDT 04-10-2017,16:59:05 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Ao BPR Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.recommender.ranking.topn=10    rec.item.distribution.parameter=500    rec.recommender.isranking=true    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01,17:00:03 AEDT 04-10-2017,17:01:18 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,GBPR Recommender,rec.gpbr.rho=1.5    rec.factor.number=10    rec.iterator.learnrate=0.01    rec.recommender.ranking.topn=10    rec.gpbr.gsize=2    rec.item.regularization=0.01    rec.recommender.isranking=true    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01,17:00:03 AEDT 04-10-2017,17:01:39 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Aspect Model Recommender,rec.pgm.burnin=10    rec.recommender.ranking.topn=10    data.splitter.cv.number=5    rec.recommender.isranking=true    rec.pgm.samplelag=10    rec.iterator.maximum=20    rec.topic.number=10,17:00:03 AEDT 04-10-2017,17:01:39 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Aspect Model Recommender,rec.iteration.learnrate=0.01    rec.iterator.maximum=100,17:00:03 AEDT 04-10-2017,17:01:57 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Association Rule Recommender,rec.recommender.ranking.topn=10    rec.recommender.isranking=true,17:00:03 AEDT 04-10-2017,17:02:02 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,ASVDPlus Plus Recommender,rec.iteration.learnrate=0.01    rec.iterator.maximum=20,17:00:03 AEDT 04-10-2017,17:02:07 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BHFree Recommender,rec.pgm.burnin=10    rec.bhfree.beta=0.01    rec.bhfree.alpha=0.01    rec.recommender.ranking.topn=10    rec.recommender.isranking=true    rec.bhfree.gamma=0.01    rec.pgm.samplelag=10    rec.bhfree.sigma=0.01    rec.bhfree.user.topic.number=10    rec.bhfree.item.topic.number=10    rec.iterator.maximum=100,17:00:03 AEDT 04-10-2017,17:02:20 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01,17:00:03 AEDT 04-10-2017,17:02:20 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPMF Recommender,rec.recommender.item.wishart.scale=1.0    rec.factor.number=20    rec.recommender.rating.sigma=2.0    rec.recommender.item.mu=0.0    rec.recommender.user.mu=0.0    rec.recommender.item.beta=1.0    rec.iterator.maximum=150    rec.recommender.user.beta=1.0    rec.recommender.user.wishart.scale=1.0,17:00:03 AEDT 04-10-2017,17:02:39 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01,17:00:03 AEDT 04-10-2017,17:02:44 AEDT 04-10-2017,
